,full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city
0,2017 Maruti Baleno 1.2 Alpha,₹ 5.45 Lakh,2017,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Agra
1,2018 Tata Hexa XTA,₹ 10 Lakh,2018,2179 cc,Third Party insurance,Automatic,"70,000 Kms",First Owner,Diesel,153.86bhp,7.0,17.6 kmpl,MUV,Agra
2,2015 Maruti Swift Dzire VXI,₹ 4.50 Lakh,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,83.14bhp,5.0,20.85 kmpl,Sedan,Agra
3,2015 Maruti Swift Dzire VXI,₹ 4.50 Lakh,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,83.14bhp,5.0,20.85 kmpl,Sedan,Agra
4,2009 Hyundai i10 Magna 1.1,₹ 1.60 Lakh,2009,1086 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Agra
5,2015 Hyundai i20 Active 1.2,₹ 4.70 Lakh,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,81.86bhp,5.0,17.19 kmpl,Hatchback,Agra
6,2017 Tata Tiago 1.05 Revotorq XZ,₹ 3.60 Lakh,2017,1047 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,69bhp,5.0,27.28 kmpl,Hatchback,Agra
7,2010 Hyundai i10 Magna 1.1,₹ 2 Lakh,2010,1086 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Agra
8,2016 Maruti Eeco 7 Seater Standard BSIV,₹ 3.70 Lakh,2016,1196 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,73bhp,7.0,15.37 kmpl,Minivans,Agra
9,2009 Hyundai Santro Xing GL,₹ 1.20 Lakh,2009,1086 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,62bhp,5.0,,Hatchback,Agra
10,2014 Honda Amaze E i-Vtech,₹ 3.30 Lakh,2014,1198 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,86.7bhp,5.0,18 kmpl,Sedan,Agra
11,2018 Hyundai Xcent 1.2 VTVT SX,₹ 4.75 Lakh,2018,1197 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,81.86bhp,5.0,20.14 kmpl,Sedan,Agra
12,2020 Maruti Ciaz Sigma BSIV,₹ 6.86 Lakh,2020,1462 cc,Third Party insurance,Manual,"50,000 Kms",Third Owner,Petrol,103.25bhp,5.0,21.56 kmpl,Sedan,Agra
